iter	RMSE
0	132.6627661
1	123.3150326
2	115.1322634
3	107.7383764
4	101.0963511
5	95.36302614
6	90.47343283
7	85.93696931
8	81.9094826
9	78.47783976
10	75.54583451
11	72.90008238
12	70.41240955
13	68.27735494
14	66.36206127
15	64.80537353
16	63.40610203
17	62.29118146
18	61.23974372
19	60.19825238
20	59.30305462
21	58.45633188
22	57.78696205
23	57.20151296
24	56.60321453
25	56.20451004
26	55.85481576
27	55.51577941
28	55.16406307
29	54.76097421
30	54.47282883
31	54.3081792
32	54.03811597
33	53.86098859
34	53.70749772
35	53.48921053
36	53.37465556
37	53.27046403
38	53.15904814
39	53.05550128
40	52.96142462
41	52.58960814
42	52.26312977
43	51.97880782
44	51.91651393
45	51.81899366
46	51.75199117
47	51.63991335
48	51.59213266
49	51.51351085
50	51.37367375
51	51.2918772
52	51.05762736
53	51.00211024
54	50.93458026
55	50.88918133
56	50.64611561
57	50.59783996
58	50.53949671
59	50.31166449
60	50.14131907
61	50.05217027
62	50.02735674
63	49.98716482
64	49.87508504
65	49.7949896
66	49.70071497
67	49.56853474
68	49.52638576
69	49.49427238
70	49.40390215
71	49.28781059
72	49.06088718
73	49.00295957
74	48.94872722
75	48.78438301
76	48.63928411
77	48.48234385
78	48.25947224
79	48.21134249
80	48.09230686
81	48.04423836
82	47.89761261
83	47.83877615
84	47.82588739
85	47.73842328
86	47.69126217
87	47.60081421
88	47.5433156
89	47.51326497
90	47.46897534
91	47.39211229
92	47.30245931
93	47.23771947
94	47.13424953
95	47.11072652
96	47.05871872
97	46.91547598
98	46.78734811
99	46.69732223
100	46.63759412
101	46.54266621
102	46.40127386
103	46.29561239
104	46.21321709
105	46.12865925
106	46.06698038
107	45.99300222
108	45.91549095
109	45.87017347
110	45.82385511
111	45.7823814
112	45.73446444
113	45.6804795
114	45.60078098
115	45.54948437
116	45.4288902
117	45.4026911
118	45.34316265
119	45.30246527
120	45.25290054
121	45.20044524
122	45.10871467
123	45.06575064
124	44.96037005
125	44.90325709
126	44.80451421
127	44.76426827
128	44.74757013
129	44.71793514
130	44.6259784
131	44.56097627
132	44.43446037
133	44.39078728
134	44.32005011
135	44.30147234
136	44.24161826
137	44.22234373
138	44.14360241
139	44.10936711
140	43.92193761
141	43.89272785
142	43.8188304
143	43.73341825
144	43.6650592
145	43.62065656
146	43.58177972
147	43.55772217
148	43.50541724
149	43.43636544
150	43.39894621
151	43.37066284
152	43.32395826
153	43.28752756
154	43.21283012
155	43.13982939
156	43.12780671
157	43.09499143
158	43.01409623
159	42.94936919
160	42.91177115
161	42.85061964
162	42.79456186
163	42.75960498
164	42.73389665
165	42.71072822
166	42.67682652
167	42.64742062
168	42.63430408
169	42.60147099
170	42.57438881
171	42.51324194
172	42.35446895
173	42.28891624
174	42.26569112
175	42.21075809
176	42.08861674
177	42.05220323
178	42.02143927
179	41.91637905
180	41.87083637
181	41.8339952
182	41.81961635
183	41.79453518
184	41.76895887
185	41.73504099
186	41.70690316
187	41.67098946
188	41.62765003
189	41.55514816
190	41.51839865
191	41.42862583
192	41.38982855
193	41.32747488
194	41.24691583
195	41.16947981
196	41.14924423
197	41.12634843
198	41.09996206
199	41.06989153
200	41.05283547
201	40.99749383
202	40.9652225
203	40.93712965
204	40.9182805
205	40.9086391
206	40.85547502
207	40.81847748
208	40.72968117
209	40.71451501
210	40.68223854
211	40.66054726
212	40.63290438
213	40.61423385
214	40.52937172
215	40.49787775
216	40.43834341
217	40.40887091
218	40.39267919
219	40.3654785
220	40.31959014
221	40.21621642
222	40.17125106
223	40.12073005
224	40.07919492
225	40.05977621
226	40.03686352
227	39.94250452
228	39.93153796
229	39.86836676
230	39.83828117
231	39.80681994
232	39.74154739
233	39.71839784
234	39.68679197
235	39.66513297
236	39.64184723
237	39.59465513
238	39.56705279
239	39.49026181
240	39.46598393
241	39.39891801
242	39.38837926
243	39.32201742
244	39.30456695
245	39.27857855
246	39.25995452
247	39.23809609
248	39.17582374
249	39.14809181
250	39.08688655
251	39.07086757
252	39.02887271
253	39.01242395
254	38.99747678
255	38.92432409
256	38.89571657
257	38.85788519
258	38.8420368
259	38.83031609
260	38.78484407
261	38.76425719
262	38.70635897
263	38.66778894
264	38.61653639
265	38.53466477
266	38.4660988
267	38.4480217
268	38.44285709
269	38.41802967
270	38.35426837
271	38.29933493
272	38.28568665
273	38.23743327
274	38.20342224
275	38.17233105
276	38.12164919
277	38.10911265
278	38.09812433
279	38.04239313
280	38.01963711
281	37.96667297
282	37.91643047
283	37.89251969
284	37.86667861
285	37.78971356
286	37.75436497
287	37.74109022
288	37.69671675
289	37.64126912
290	37.62449985
291	37.60265399
292	37.5718815
293	37.5041364
294	37.48701373
295	37.47222481
296	37.46291136
297	37.44213138
298	37.39245815
299	37.38581108
